Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
PYCRL	4.441238119	5.081191072	5.560738322	5.397449734	5.123000285	5.023687081	4.904785182	5.34658625	4.56204452	4.826940182
PYGB	5.654770868	5.882910651	6.115926838	5.821014133	6.245441066	6.316516483	5.724748951	5.881340025	5.43271085	6.036915493
PYGL	7.029251162	7.066502919	7.176192631	7.144747339	7.387396227	7.319632923	7.622086792	7.529528898	7.084553003	7.144359298
PYGO1	3.113572846	2.681304167	3.210201441	3.056672822	3.29210594	2.988381766	3.606162782	3.461263669	1.553240433	2.493574579
PYGO2	6.103480161	6.017736762	6.175101517	6.385251525	6.23581271	5.875682851	6.021066299	6.078018714	5.88550325	6.082592273
PYROXD1	2.499580584	2.901648941	3.147838365	3.084363626	3.763445637	3.692135603	2.926183368	3.217893594	2.805354667	2.713268921
PYROXD2	4.099131999	4.080435023	4.241274627	4.309859773	4.300729274	4.384563854	4.133105558	4.383725234	4.765196107	4.587810138
PZP	3.024672256	3.092756374	2.306829955	2.446350761	2.145495706	1.523815853	2.119187163	2.365170966	2.095655099	2.026962699
QARS	8.186936945	8.419836923	8.324723056	8.19085261	7.782673095	8.055350436	7.964956141	8.014495607	8.735511981	8.565715101
QDPR	4.87334927	4.9467316	4.948924821	5.045408977	4.983666267	5.365794422	5.153362654	5.130989235	5.029586363	4.956548002
QKI	5.472947252	5.274147462	5.125160805	5.060823898	5.127470335	4.890611759	5.022750667	5.019983486	4.8213334	4.902165627
QPCTL	4.713782836	5.047845231	5.010093645	5.026976417	4.660809931	4.624910356	4.987162102	5.011815372	4.948465049	5.3646878
QPRT	5.229493167	5.442965056	4.925881737	4.961289096	3.866871393	3.750198169	4.081538934	4.007377368	5.235954679	5.215850903
QRICH1	6.646849507	6.56549237	6.558917738	6.728395075	6.489531267	6.358807682	6.635789971	6.53375518	6.13273142	6.441127231
QRICH2	1.974917691	2.019064077	1.611428543	1.878397364	2.332632773	2.556648411	2.044204792	2.061832735	2.835748028	2.052960757
QRSL1	4.519240659	4.530147119	4.1434533	4.437732855	4.715277379	4.657641749	4.384804136	4.455745924	4.346783713	4.185305984
QRSL1P1	1.481876474	1.228610221	1.377820778	1.349337138	1.541256356	1.722531111	1.575453073	1.783428806	0.673836305	1.199675784
QSER1	6.108535919	6.078964905	6.06199188	5.812760747	5.814029677	5.809862321	6.000388835	6.075408392	5.962412082	5.869632877
QSOX1	6.686028973	7.025617598	7.064930837	6.899489242	6.857397958	6.928499385	6.771567289	7.046460633	7.25237261	7.598354382
